Name,City,State,Contact Number Primary,Contact Number Secondary,Search parameter
Lok Kala Manch,Delhi,Delhi,1124602366,24644421,Auditoriums
Rangoli Metro Art Center,Bangalore,Karnataka,8022969265,32900930,Auditoriums
Rajeshree Hall,Surat,Gujarat,2612333634,9909966831,Auditoriums
Mahalakshmi Bhavan,Mysore,Karnataka,8212487682,9980426094,Auditoriums
Guru Nanak Bhawan,Ludhiana,Punjab,1612771395,8146790150,Auditoriums
Bridgettine Convent,Bangalore,Karnataka,8025582175,25584956,Auditoriums
Science City,Kolkata,West Bengal,3322852607,22854343,Auditoriums
Shree Mangal Karyalaya,Nashik,Maharashtra,2532504349,9922210888,Auditoriums
Abhishekam Convention Centre,Ernakulam,Kerala,4842776010,9746682557,Auditoriums
Krishna Auditorium,Delhi,Delhi,9540999103,9971938000,Auditoriums
Narada Gana Sabha,Karur,Tamil Nadu,4324260678,,Auditoriums
Ved Shastro Tejak Sabha,Pune,Maharashtra,2024331622,,Auditoriums
Abyudaya Foundation,Kakinada,Andhra Pradesh,8842360414,,Auditoriums
Nadha Sudha,Kakinada,Andhra Pradesh,8842342868,,Auditoriums
Lake View Palace,Kollam,Kerala,4742831240,,Auditoriums
Stephen Hall,Kolkata,West Bengal,9433779396,,Auditoriums
Rangan Theatre,Kolkata,West Bengal,3324941581,,Auditoriums
Academy Bhawan,Kolkata,West Bengal,3324109144,9830786337,Auditoriums
Rakta Karabi,Kolkata,West Bengal,3324167922,9433182410,Auditoriums
Indraprastham Convention Centre,Kottayam,Kerala,4812568970,2583470,Auditoriums
Vyapara Bhavan Auditorium,Kottayam,Kerala,4812276919,,Auditoriums
Baramy Hall,Kozhikode,Kerala,4952303565,,Auditoriums
Anugraha Palace,Kozhikode,Kerala,4952433222,,Auditoriums
Anugraha Auditorium,Kozhikode,Kerala,4952705304,,Auditoriums
