Name,City,State,Contact Number Primary,Contact Number Secondary,Search parameter,Page Number
Rangoli Metro Art Center,Bangalore,Karnataka,8022969265,32900930,Auditoriums,4
Lok Kala Manch,Delhi,Delhi,1124602366,24644421,Auditoriums,4
Rajeshree Hall,Surat,Gujarat,2612333634,9909966831,Auditoriums,4
Mahalakshmi Bhavan,Mysore,Karnataka,8212487682,9980426094,Auditoriums,4
Bridgettine Convent,Bangalore,Karnataka,8025582175,25584956,Auditoriums,4
Guru Nanak Bhawan,Ludhiana,Punjab,1612771395,8146790150,Auditoriums,4
Shree Mangal Karyalaya,Nashik,Maharashtra,2532504349,9922210888,Auditoriums,4
Science City,Kolkata,West Bengal,3322852607,22854343,Auditoriums,4
Abhishekam Convention Centre,Ernakulam,Kerala,4842776010,9746682557,Auditoriums,4
Krishna Auditorium,Delhi,Delhi,9540999103,9971938000,Auditoriums,4
Chandra Vihar Kalyana Mantap,Mysore,Karnataka,8212485698,,Auditoriums,4
Balaji Mangal Karyalaya,Nashik,Maharashtra,2532577355,,Auditoriums,4
Rajadhani Auditorium,Kannur,Kerala,4972863200,9400537380,Auditoriums,41
Lake View Palace,Kollam,Kerala,4742831240,,Auditoriums,41
Stephen Hall,Kolkata,West Bengal,9433779396,,Auditoriums,41
Rangan Theatre,Kolkata,West Bengal,3324941581,,Auditoriums,41
Girish Mancha,Kolkata,West Bengal,3325544895,,Auditoriums,41
Indraprastham Convention Centre,Kottayam,Kerala,4812568970,2583470,Auditoriums,41
Anugraha Auditorium,Kozhikode,Kerala,4952705304,,Auditoriums,41
Periyar Thidal,Chennai,Tamil Nadu,044-26618161,,Auditoriums,41
Meladathu Auditorium,Adoor,Kerala,4734224889,9562626352,Auditoriums,41
Sree Cochin Dariyasthan Mandir,Cochin,Kerala,0484-2228294,,Auditoriums,41
Vigyan Bhawan,Delhi,Delhi,011-23022231,,Auditoriums,41
Ambedkar Sanskrutik Bhavan,Pune,Maharashtra,020-26055476,,Auditoriums,41
